key,userid,username,full_name,email,hashed_password,subscription
Admin,1,admin,Administrator,admin@admin.com.demo,$2b$12$vY8Lq2M1pEiAMGlWZ/jtVuYxIB41Y0DSWqCzKk/U5foWT1ekfE5aC,premium
Leo,2,leo,Leo Loeffler,leo@example.com,$2b$12$.lBzHQhAlvImzVyzxmyGV.nI5z8vnkc.fa9knDE0JmAMZwyJwt4eS,premium
Fabian,3,fabian,Fabian Flocken,fabian@example.com,$2b$12$p5YkL4EJC2puyXbLaDXPGubhNMdomKKRVIZQoav6O92aewzrlxd/e,premium
Mehdi,4,mehdi,Mir Mehdi Seyedebrahimi,mehdi@example.com,$2b$12$7Q9yURr/5e/RJYjdM8fc.eoDT5hve6rbkSnLksaNhT3nihR1IRdhG,premium
User,5,user,Demo User,user@example.com,$2b$12$mPQ7OD3nmlhDJ8MEPfNy1.jtHCJ6Ay4Lj7VRDOiE3TEvybXU8BWxe,basic6,test,test test,tester@example.com,$2b$12$ZFJ55QDbqQzW52C2v8fcaO1lBlcFkeuu88Fb8ApiH/a6V/HdE1O4m,basic
Testerrr12221,6,test4,tester test2,tester@examlple.org,$2b$12$nwgh7OapOBDvsAfREtvYDeP1mnECYRJAyz6AjsbkGvxG/5gQLi9i.,basic
Testerö,7,Testerö,Test Testerö,testerl@example.org,$2b$12$RwXYppwINfZCYIXsWfAKjOcTXDfekOrpQD8nahbp3gIVzrUvuLgGC,basic
Testeraa,8,Testeraa,Test Testera,testera@example.org,$2b$12$03c2EG/wZWZIC05OhIzxTenzlBLISMlxXl/JxpgrnZpervI0COzva,basic
Testeraa2,9,Testeraa2,Test Testera,testera@example.org,$2b$12$QtDp.yHaUQ6n45eyUKlLm.M/j2lUNB1djz9KrPpBND44rSE9jXZ4G,basic
Testeraa32,10,Testeraa32,Test Testera,testera@example.org,$2b$12$EvtYs87wvnEitUdQakee9e5qYnDSEnAbA9KYmU6heY9LkzSJ9ltYS,basic
Testeraa28,11,Testeraa28,Test Testera,testera@example.org,$2b$12$/ab.83n1wf6D3KQCN.EZcu3dlnr9Fyo41C2lzQFoXzyllO9WSQKo2,basic
Testeraa25,12,Testeraa25,Test Testera,testera@example.org,$2b$12$YzjenM8DlPaxwNLdTCrowOryyOnG4e.QSwoNprRKjrGTcnziO4qmS,basic
